Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","076","Brazil","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","27304.243","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","187973.657","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","31.122","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","16.859","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","16.147","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","445.373","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","96.423","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","353.19","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","6885.868","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","1652.403","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","5239.807","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","22100.683","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","14781.376","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","6715.585","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","12551.213","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","10575.557","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","1729.9","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","587.925","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","188.937","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","385.375","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","16589.023","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","12764.03","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","4179.681","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","27198.628","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","11138.276","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","15475.489","X","Figure from international organizations",""
"OA","Annual population","124","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","38155.012","X","Figure from international organizations",""
"OA","Annual population","124","Canada","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","6958.095","X","Figure from international organizations",""
"OA","Annual population","124","Canada","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","30966.067","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","68.136","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","64.643","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","5457.154","X","Figure from international organizations",""
