Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","204","Benin","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","8.3","E","Estimated value",""
"RFN","Fertilizers by Nutrient","060","Bermuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","98.67","E","Estimated value",""
"RFN","Fertilizers by Nutrient","060","Bermuda","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","70.16","E","Estimated value",""
"RFN","Fertilizers by Nutrient","060","Bermuda","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","70.62","E","Estimated value",""
"RFN","Fertilizers by Nutrient","064","Bhutan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","8.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","064","Bhutan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","3.26","E","Estimated value",""
"RFN","Fertilizers by Nutrient","064","Bhutan","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","2.18","E","Estimated value",""
"RFN","Fertilizers by Nutrient","068","Bolivia (Plurinational State of)","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","5.21","E","Estimated value",""
"RFN","Fertilizers by Nutrient","068","Bolivia (Plurinational State of)","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","3.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","068","Bolivia (Plurinational State of)","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","1.11","E","Estimated value",""
"RFN","Fertilizers by Nutrient","070","Bosnia and Herzegovina","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","42.08","E","Estimated value",""
"RFN","Fertilizers by Nutrient","070","Bosnia and Herzegovina","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","6.03","E","Estimated value",""
"RFN","Fertilizers by Nutrient","070","Bosnia and Herzegovina","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","7.9","E","Estimated value",""
"RFN","Fertilizers by Nutrient","072","Botswana","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","49.94","E","Estimated value",""
"RFN","Fertilizers by Nutrient","072","Botswana","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","4.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","072","Botswana","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","4.06","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","88.01","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","96.67","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","113.67","E","Estimated value",""
"RFN","Fertilizers by Nutrient","096","Brunei Darussalam","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","24.3","E","Estimated value",""
"RFN","Fertilizers by Nutrient","096","Brunei Darussalam","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","23.2","E","Estimated value",""
